vm_pu,va_degree,p_mw,q_mvar,lam_p,lam_q,bus,scenario
1.0147080921871277,-3.5466754291766445,-48.898585002559805,22.916445556648924,0.0010203307451603853,-3.067752202729872e-10,0,0
1.014528417047617,-3.540530099989857,-51.536182002559805,22.03913181245497,0.001020269828313073,-3.777976396549235e-10,1,0
0.9857115598555746,-5.347883694602661,70.873505,24.482514999999992,0.0010388101052499123,4.371222512960879e-06,2,0
0.9855032591569503,-5.1364442387949145,31.05713,18.547282999999993,0.0010376109648240223,6.9555336791962e-06,3,0
1.0133208547304182,-5.130204552422897,32.92860999999999,13.270866999999996,0.001034828975115166,-3.5490906529958644e-07,4,0
1.021116368503906,-6.416881491333104,59.401104000000004,125.60435980266047,0.0010443446539528422,-5.685244242791244e-06,5,0
0.9972826278525222,-7.083278834765112,-15.428135001104941,-9.406554517714525,0.0010539769896258826,1.5312911318747706e-09,6,0
0.9885545291883048,-7.539266921180736,69.519135,23.36412999999999,0.0010592496813110882,3.4383594293198766e-06,7,0
0.9868692804670027,-4.827156360799934,63.11104,31.799379999999985,0.001034123183273588,3.216976398824491e-06,8,0
1.0291539519711177,-5.300269829017299,59.82254399999999,29.715692999999987,0.0010348671521587926,-6.045214342771884e-06,9,0
1.026107702819486,-2.758762585854404,-1.7671584999999936,-0.9027036999999893,0.0010332620099510594,-1.2004469703444e-06,10,0
1.0276258340450182,-1.9602429266293155,-0.3145139800000152,-0.7688532999999893,0.0010308006809671478,-1.5807598368226185e-06,11,0
1.0200000000000178,0.0,-150.1971800010121,80.1767074873737,0.0010214358970300744,-1.430367865333427e-10,12,0
1.0259984374150457,-2.928389127835152,78.47020999994193,18.56788803977615,0.0010345159522104886,-2.9288627788557956e-10,13,0
1.0354849043980232,-1.5924344743174543,70.02702999710469,-0.292462904163699,0.001028659313516386,3.540598929993463e-08,14,0
1.0337188345946513,-1.4619181499344724,13.077169998469145,3.907100831520509,0.0010280169788638774,-4.277911914044632e-10,15,0
1.0384091648639884,-0.532258639306935,27.975187000000005,0.4368072500000153,0.0010237509694990712,-1.3237677442641753e-07,16,0
1.0383838942071788,-0.5107284625007861,52.77088999524415,11.012140101161648,0.0010236673233987774,-8.703576466996062e-11,17,0
1.030713338774481,-1.0796971556641963,86.57487500000002,19.493299999999977,0.0010264052402648922,3.7280046209659446e-07,18,0
1.0320843979557268,0.16052166635333107,43.78264999999999,10.082110999999998,0.0010207628488675554,1.5555076806071645e-07,19,0
1.0396599439640097,-0.13175180208398432,-33.43391000475583,9.531486917364589,0.001021939599424561,-7.979476140853131e-10,20,0
1.0499910302523199,4.701615315567151,-231.13536320155737,12.100587123020546,0.0010000054792866132,4.379191670266887e-12,21,0
1.0333239493266781,1.0920881609352993,-243.00672500460183,19.838989819497385,0.001016503022276074,1.1369703722813969e-10,22,0
1.0279073876713145,-3.0908327932110717,7.999882000000014,-1.186116200000015,0.0010360647601894437,2.118066625950598e-06,23,0
1.013652429181471,-3.4601455699998436,-40.03367556452953,25.733554308699258,4.5298028767327985,-8.090548629387509e-08,0,1
1.013442231736151,-3.463947533269302,-45.017709559653454,25.83830919443392,4.529865411799062,-9.653319855761801e-08,1,1
0.9881551038175801,-4.593623594521084,66.73039,24.037325000000003,4.583961896952959,0.018303947607775265,2,1
0.9874977028788188,-4.960079609440608,34.130325,15.992073000000005,4.601731912485101,0.02495197193682852,3,1
1.0152148073464557,-4.85858025425471,31.334524000000002,11.677667,4.584974099796829,-0.005642173156337108,4,1
1.0249051514450254,-6.027461366476411,56.49418600000001,123.73767094585502,4.621189606917169,-0.03169793418815658,5,1
1.0036580888661555,-5.371265783343155,-26.01591703448942,-6.907050074619761,4.610599270677693,5.221633477139079e-07,6,1
0.9949080989971161,-6.2172139988939845,62.167159999999996,21.90751800000001,4.648961801916076,0.010805793355495773,7,1
0.9894758361932223,-4.342600278863111,59.888682999999986,29.218495999999988,4.574556240000839,0.010401749479887224,8,1
1.0322542583550909,-4.896300520069886,58.79717599999998,26.492391999999995,4.579252002831082,-0.031198505016396427,9,1
1.0272088495116682,-2.434791051762357,-2.0873339999999985,-1.0347393000000125,4.571474872467856,-0.007509114087651179,10,1
1.0289249251338326,-1.8375522187258082,0.3238758400000279,-0.8451916600000118,4.563248632172593,-0.009723702962836278,11,1
1.0199999999998506,0.0,-138.46060186593286,82.23638365156425,4.525392747838191,-1.8167471803148525e-08,12,1
1.0257563763431368,-2.4265906191280906,85.0018900011465,22.534036148833053,4.573472891356392,-1.3424766827605596e-07,13,1
