scenario,index1,index2,G,B
0,0,0,17.011918767573544,-84.77385681789507
0,0,1,-13.00195029254388,69.5104265639846
0,0,2,-1.14738182597622,4.438224205973951
0,0,4,-2.862586649053443,11.09580604793651
0,1,0,-13.00195029254388,69.5104265639846
0,1,1,16.180396687476932,-81.5149176131998
0,1,3,-1.9149113798863084,7.3969290192559525
0,1,5,-1.263535015046744,4.881262029959253
0,2,0,-1.14738182597622,4.438224205973951
0,2,2,3.5123114154385533,-24.179291644802625
0,2,8,-2.0384337416377893,7.875766729055094
0,2,23,-0.31698626002382907,11.56310748521707
0,3,1,-1.9149113798863084,7.3969290192559525
0,3,3,4.251048368169884,-16.40518445526367
0,3,8,-2.3361369882835756,9.039455436007716
0,4,0,-2.862586649053443,11.09580604793651
0,4,4,5.604048738119698,-21.689559664802754
0,4,9,-2.7414620890662555,10.617153616866245
0,5,1,-1.263535015046744,4.881262029959253
0,5,5,4.870682876968237,-20.32593797573266
0,5,9,-3.6071478619214936,15.700175945773408
0,6,6,3.9525003915212653,-15.254814719459477
0,6,7,-3.9525003915212653,15.263114719459477
0,7,6,-3.9525003915212653,15.263114719459477
0,7,7,6.889095385555233,-26.564490211614228
0,7,8,-1.4682974970169838,5.677187746077377
0,7,9,-1.4682974970169838,5.677187746077377
0,8,2,-2.0384337416377893,7.875766729055094
0,8,3,-2.3361369882835756,9.039455436007716
0,8,7,-1.4682974970169838,5.677187746077377
0,8,8,6.495859922587437,-46.35991133068735
0,8,10,-0.31698626002382907,11.56310748521707
0,8,11,-0.31698626002382907,11.56310748521707
0,9,4,-2.7414620890662555,10.617153616866245
0,9,5,-3.6071478619214936,15.700175945773408
0,9,7,-1.4682974970169838,5.677187746077377
0,9,9,8.469899143653821,-54.550718728264194
0,9,10,-0.3200939684554352,11.676471284091747
0,9,11,-0.3200939684554352,11.676471284091747
0,10,8,-0.31698626002382907,11.56310748521707
0,10,9,-0.3200939684554352,11.676471284091747
0,10,10,6.310180721002116,-66.77963738730838
0,10,12,-2.648753566047322,20.668962253090577
0,10,13,-3.039855888313442,23.5307363206485
0,11,8,-0.31698626002382907,11.56310748521707
0,11,9,-0.3200939684554352,11.676471284091747
0,11,11,4.577608087233592,-53.37550932384045
0,11,12,-2.648753566047322,20.668962253090577
0,11,22,-1.3072832545449176,10.184158257180568
0,12,10,-2.648753566047322,20.668962253090577
0,12,11,-2.648753566047322,20.668962253090577
0,12,12,6.756984928309469,-52.52053255776515
0,12,22,-1.459477796214825,11.373408051583995
0,13,10,-3.039855888313442,23.5307363206485
0,13,13,6.290387350207462,-48.73502109418398
0,13,15,-3.2505314618940204,25.289134773535476
0,14,14,14.842818123202159,-115.81238034094446
0,14,15,-7.233748725873804,56.88356952618946
0,14,20,-5.1624745461324455,40.15257980325236
0,14,23,-2.44659485119591,18.95198101150265
0,15,13,-3.2505314618940204,25.289134773535476
0,15,14,-7.233748725873804,56.88356952618946
0,15,15,20.853952129924018,-162.62736951147886
0,15,16,-4.840839078773654,37.99325216370838
0,15,18,-5.528832863382538,42.57201304804555
0,16,15,-4.840839078773654,37.99325216370838
0,16,16,14.585681941339672,-115.55942820112503
0,16,17,-8.547008547008547,68.37606837606837
0,16,21,-1.1978343155574722,9.343107661348283
0,17,16,-8.547008547008547,68.37606837606837
0,17,17,18.228686704555855,-144.29292270348512
0,17,20,-9.681678157547308,75.98650432741675
0,18,15,-5.528832863382538,42.57201304804555
0,18,18,11.927146719495752,-92.14548828374814
0,18,19,-6.398313856113215,49.6810252357026
0,19,18,-6.398313856113215,49.6810252357026
0,19,19,18.20269834177932,-140.61461983941254
0,19,22,-11.804384485666105,91.06239460370995
0,20,14,-5.1624745461324455,40.15257980325236
0,20,17,-9.681678157547308,75.98650432741675
0,20,20,16.706099015420932,-130.42072435320378
0,20,21,-1.8619463117411768,14.510340222534687
0,21,16,-1.1978343155574722,9.343107661348283
0,21,20,-1.8619463117411768,14.510340222534687
0,21,21,3.059780627298649,-23.67164788388297
0,22,11,-1.3072832545449176,10.184158257180568
0,22,12,-1.459477796214825,11.373408051583995
0,22,19,-11.804384485666105,91.06239460370995
0,22,22,14.571145536425849,-112.38206091247451
0,23,2,-0.31698626002382907,11.56310748521707
0,23,14,-2.44659485119591,18.95198101150265
