scenario,bus,Pd,Qd,Pg,Qg,Vm,Va,PQ,PV,REF
0,0,89.2019939245564,17.42173541970882,99.44079883626873,47.39208387558346,1.0499999887429436,-9.530130015110007,0.0,1.0,0.0
0,1,79.63063124579406,15.271181130828841,103.23216027365075,36.72491355253055,1.049999983026543,-9.630827653851016,0.0,1.0,0.0
0,2,136.3463934447069,29.833025139679105,0.0,0.0,0.9845995374791375,-4.668277550694244,1.0,0.0,0.0
0,3,56.77774606002355,12.075137407737795,0.0,0.0,0.9992307580060718,-9.765181470077552,1.0,0.0,0.0
0,4,56.95582195982185,11.153449334576656,0.0,0.0,1.0282766842238142,-10.523724616942735,1.0,0.0,0.0
0,5,111.52524731808016,22.916228504935003,0.0,0.0,1.0204375613909633,-11.932920611279489,1.0,0.0,0.0
0,6,104.02484213106791,18.92274135187116,181.44579533806052,-3.253236447238965e-06,0.9500000036257491,-6.924737078481332,0.0,1.0,0.0
0,7,135.26789016359373,28.815154499732103,0.0,0.0,0.9502717368527607,-10.126819518863709,1.0,0.0,0.0
0,8,133.17901304630493,28.933727339070344,0.0,0.0,0.9837223518173955,-6.589932617233931,1.0,0.0,0.0
0,9,159.77543249721865,33.18342452386831,0.0,0.0,1.0261991359006517,-8.962341939807756,1.0,0.0,0.0
0,10,0.0,0.0,0.0,0.0,1.0287714246930253,-1.832863689321231,1.0,0.0,0.0
0,11,0.0,0.0,0.0,0.0,1.023492728137782,-1.9718396689311661,1.0,0.0,0.0
0,12,215.08704383281193,42.194879574778135,207.00002579443913,-26.977598876790857,1.0200000000062623,0.0,0.0,0.0,1.0
0,13,149.89546159895374,31.51015918081009,-1.6084009101450562e-08,131.03119379685543,1.0499999859233282,2.1749259218784207,0.0,1.0,0.0
0,14,243.50770546957315,49.45869349469631,113.37303837710046,55.9981616330112,1.0410534409646035,10.429643988293856,0.0,1.0,0.0
0,15,76.35706360936841,15.19404659241112,110.06702868419731,79.9994898605907,1.0466662746095223,9.179551090293023,0.0,1.0,0.0
0,16,0.0,0.0,0.0,0.0,1.0479586099064437,14.117249479768898,1.0,0.0,0.0
0,17,268.2851639645037,56.663380594743586,399.999968516878,51.371973547860925,1.0499998601681992,15.790189576019468,0.0,1.0,0.0
0,18,139.82284256013986,29.5498568282211,0.0,0.0,1.0421363891946844,6.978489469349884,1.0,0.0,0.0
