scenario,p_mw,q_mvar,vm_pu,gen_bus
0,16.000002938479145,8.174800761974366,1.0499999887429436,0
0,16.000002943513206,6.983055764518276,1.049999983026543,1
0,0.0,0.0,0.0,6
0,-1.6084009101450562e-08,131.03119379685543,1.0499999859233282,13
0,2.400007751760696,5.999702805255634,1.0410534409646035,14
0,110.06702868419731,79.9994898605907,1.0466662746095223,15
0,399.999968516878,51.371973547860925,1.0499998601681992,17
0,399.9999681910242,-5.700657377794594,1.0499999475547286,20
0,49.99997793616103,-1.4677098298755968,1.0499983160195703,21
0,123.59877786696323,46.9400071717545,1.0499999788197594,22
1,16.00000182799964,6.880174914373923,1.0035892647871587,0
1,16.00000182671277,6.195552840161757,1.0028181256030895,1
1,25.000006878748916,59.962842179092135,0.9755511007141741,6
1,3.145949036790046e-09,170.38397206128025,1.0499965208974564,13
1,2.400004947084465,5.9974402842136545,1.0379319152014301,14
1,153.27613319285803,79.99313864375291,1.0450617044075285,15
1,399.99998017117235,55.4477402956897,1.049999015712986,17
1,399.9999800659635,7.3332427618484335,1.0499996132256375,20
1,49.999985620164,-1.3749828263614072,1.0499983560159223,21
1,0.0,0.0,0.0,22
2,16.000001192146758,7.367140554874879,0.993552902668883,0
2,16.00000119069838,6.1420427080814175,0.9940775039722363,1
2,25.000004397534763,59.992005504062405,0.9757291034921687,6
2,1.07365168532003e-09,180.38901875793886,1.0499988196712653,13
2,2.4000032049335083,5.9989590049668635,1.029832277825862,14
2,127.50939362021954,79.99749102336506,1.0404640796165963,15
2,399.9999865393433,79.13959541984572,1.049999605620245,17
2,399.9999864825364,11.006839446781088,1.049999655170856,20
2,49.999990639123375,-0.8283469635803146,1.049998980845491,21
2,132.06236528352846,54.27747703147088,1.0499995333765564,22
3,16.000000737614187,7.77106130361767,1.009870414409588,0
3,16.000000737096734,6.334300456317804,1.009122331795393,1
3,25.000002788188567,59.99570666915955,0.9761749181575852,6
3,1.4582723444706933e-09,175.68365508141594,1.0499995380682483,13
3,2.4000019757566475,5.999069014964216,1.037515104137946,14
3,130.88250148968945,79.99810806967554,1.0446246005050064,15
3,399.99999156545,55.978691284821224,1.0499996211593638,17
3,399.9999915375914,9.593295503683057,1.0499998441464127,20
3,49.99999405486676,-1.3631269303611204,1.0499993998306518,21
3,132.68311318287044,51.333009533623475,1.0499996515874026,22
4,16.000000628967552,7.780405047204099,1.009884892803226,0
4,16.000000628639906,6.338754075923853,1.0091348995251694,1
4,25.000002396649563,59.99666109021044,0.9761893719282863,6
4,1.0674362295652353e-09,175.7651133446205,1.0499996368459177,13
4,2.4000016778980044,5.999201046249602,1.0375257973514929,14
4,130.3983622843503,79.99839757252174,1.044615918275049,15
4,399.9999927440673,56.03614124263837,1.0499996740413546,17
4,399.99999272086717,9.512379176183101,1.0499998640510644,20
4,49.99999491308949,-1.3617756393250127,1.0499995132335864,21
4,132.31359740332226,51.35941652955306,1.0499997056611703,22
5,16.000000323420615,7.183572554569665,1.0103092961653592,0
5,16.000000323201192,6.256183834402687,1.009599327595051,1
5,25.000001226782313,59.99838092129923,0.9784337275670175,6
5,6.524092318506513e-10,171.89758087447524,1.049999823912454,13
5,2.400000864538339,5.999591908455852,1.0374039272470204,14
5,135.4505289717961,79.99921418129674,1.0445933757227042,15
5,399.99999631804224,53.757369776274864,1.0499998368609331,17
5,399.999996302479,9.996173773812252,1.049999933208791,20
5,49.99999738961723,-1.3703710434455918,1.0499997535005032,21
5,135.64275877138024,50.39094775512809,1.0499998664292634,22
6,16.00000154306776,6.301751073893604,1.0102825090368568,0
6,16.000001542272727,5.902827426030385,1.0095110058093533,1
6,25.00000604080055,59.75049349177418,0.9804557637816279,6
6,-2.722875175448373e-09,159.40654028267008,1.0499953679824798,13
6,2.400004166250816,5.997756120329103,1.0387455924355355,14
6,154.99974430172517,79.99604380349977,1.0454784514173048,15
6,399.9999841165999,52.36232849133033,1.0499993546209594,17
6,399.9999840038369,3.6075076458250455,1.049999702177664,20
6,49.999988243231336,-1.4016780916019138,1.0499987040252179,21
6,154.9997820895961,50.56427023090302,1.0499991444481453,22
7,16.00000132296104,6.488877836383314,1.0105018568792858,0
7,16.00000132101543,6.338326281365009,1.0094379090203331,1
7,25.00000505374167,59.80984400741565,0.9807722668992481,6
7,1.009459519935731e-09,159.36014594351184,1.0499969286701185,13
7,2.4000035643661497,5.998236109481522,1.038757704746758,14
7,154.9997078349206,79.99668096142759,1.0454835681623402,15
7,399.9999863741042,52.3523644009218,1.0499994554267462,17
7,399.99998626643907,3.553984652973115,1.049999735259896,20
7,49.99998992712087,-1.4018698575334982,1.0499988760708985,21
7,154.99975118975308,50.625286842369164,1.0499993570268187,22
8,16.00000056848611,6.299757670972913,1.0071980586873275,0
8,16.000000568057196,5.956205645956867,1.0067287693288598,1
8,25.000002135859035,59.93500112861094,0.9795066469663826,6
8,-1.5208793947476468e-09,157.12950965045326,1.0499717472293513,13
8,2.4000015375457666,5.999292319255116,1.0320015523235682,14
8,154.9998563609738,79.99848709731958,1.0437379557287525,15
