scenario,bus,Pd,Qd,Pg,Qg,Vm,Va,PQ,PV,REF
0,0,,17.42173541970882,99.44079883626873,47.39210540556067,1.0499999887429436,-0.0595357759501195,0.0,1.0,0.0
0,1,79.63063124579406,15.27118113082884,,36.72492948425925,1.049999983026543,-9.630828397704208,0.0,1.0,0.0
0,2,136.3463934447069,,106.70491239799208,,1.0196075021022477,-0.0595357759501195,1.0,0.0,0.0
0,3,56.77774606002355,21.222032533296392,0.0,0.0,0.999230751357446,-9.765182062555752,1.0,0.0,0.0
0,4,,11.153449334576656,0.0,,1.028276678145246,,1.0,0.0,0.0
0,5,111.52524731808016,,106.70491239799208,0.0,1.0196075021022477,-11.932921180200228,1.0,0.0,0.0
0,6,104.02484213106791,18.92274135187116,,0.0,,-0.0595357759501195,0.0,1.0,0.0
0,7,135.26789016359373,,0.0,22.813940841973853,0.9502717331673654,-10.12682001991688,1.0,0.0,0.0
0,8,104.4123560519032,28.933727339070344,,,1.0196075021022477,,1.0,0.0,0.0
0,9,,,106.70491239799208,0.0,1.0196075021022477,-8.96234240044723,1.0,0.0,0.0
0,10,0.0,0.0,106.70491239799208,0.0,1.0287714217505453,-1.832863940085943,1.0,0.0,0.0
0,11,,0.0,,0.0,1.0234927242556349,-1.9718398841224511,1.0,0.0,0.0
0,12,,42.194879574778135,,,1.0196075021022477,,0.0,0.0,1.0
0,13,149.89546159895374,,106.70491239799208,131.0312022510724,1.0499999859233284,-0.0595357759501195,0.0,1.0,0.0
0,14,,21.222032533296392,113.37303837710046,55.99818020484016,,,0.0,1.0,0.0
0,15,104.4123560519032,15.19404659241112,110.06702868419733,79.99949653048964,,9.179550585559634,0.0,1.0,0.0
0,16,0.0,0.0,,22.813940841973853,1.0196075021022477,,1.0,0.0,0.0
0,17,104.4123560519032,,399.999968516878,22.813940841973853,,15.7901890060663,0.0,1.0,0.0
0,18,139.82284256013986,21.222032533296392,0.0,,,6.978489046845707,1.0,0.0,0.0
0,19,103.50174157210796,21.222032533296392,0.0,0.0,,6.5223153479813245,1.0,0.0,0.0
0,20,,0.0,,22.813940841973853,1.0499999475547286,-0.0595357759501195,0.0,1.0,0.0
0,21,,0.0,,22.813940841973853,1.04999831601957,,0.0,1.0,0.0
0,22,0.0,21.222032533296392,106.70491239799208,,1.0196075021022477,6.8529720044693425,0.0,1.0,0.0
0,23,0.0,21.222032533296392,0.0,0.0,1.0196075021022477,,1.0,0.0,0.0
