p_mw,q_mvar,va_degree,vm_pu,gen,scenario
16.000000000151555,4.963867277667767,-2.630635589573144,1.016518503918841,0,0
16.000000000151555,4.8290663531792015,-2.5839901645367562,1.016417100152029,1,0
25.00000000060639,49.55201288272788,-4.693294233335314,1.0050526452005033,2,0
2.7613831170463994e-12,-2.8972013617560224,-3.762264951139567,1.0247807503020858,3,0
2.4000000004624713,3.326103895252877,-2.7684347559156826,1.0340282667732459,4,0
54.30000000236003,21.434198292099055,-2.5923106954825075,1.0322187241879623,5,0
100.00000000722456,40.76754474622511,-1.8901141551316893,1.0367210491075354,6,0
100.00000000722456,-5.81153509851869,-1.440246966372538,1.0381829241147953,7,0
45.94695123832201,4.662986678169749,3.532831054457886,1.0499818917900883,8,0
54.30000000236003,26.72174712152866,0.6699975569333422,1.0329741373001935,9,0
16.00000041349716,5.011914246540199,-3.994091555204072,1.0111436221470929,0,1
16.000000413982022,5.034024621220402,-4.014396836773838,1.0108703292702057,1,1
25.0000012643565,47.64389959931145,-4.924428270042999,1.0053584175228532,2,1
-2.8778509382791334e-09,-3.5815425530021296,-2.108853369893696,1.0276484437268747,3,1
2.400001006112804,3.948294353936806,0.06624746014752074,1.0394886925486757,4,1
54.30000608396375,22.568390584010427,-0.4255309514424019,1.0360093016935248,5,1
186.81299253743344,49.329809715831715,2.394537691816137,1.0442688605745267,6,1
171.1058730578455,-0.7377375406651822,2.723038745830464,1.0452782068463258,7,1
49.99998732660654,1.6843212656599604,8.057076046169684,1.0499990300678619,8,1
54.30000583118889,25.407495821641383,0.7861825871871669,1.0320791602234978,9,1
16.000000317065137,4.901814734661271,-5.067082536203025,1.0180382320184287,0,3
16.000000317161057,4.941558132795489,-5.108794563847205,1.0177306854989199,1,3
25.000000969401803,49.13679353685609,-6.9138642302326865,1.0081683611727847,2,3
-6.001060449043419e-10,-3.9060487137328606,-3.65069895602571,1.0332021839084227,3,3
2.40000076163328,4.600202488761728,-1.395350552489375,1.0404554786921822,4,3
54.3000047153287,-9.42623304217027,-1.5325647064540335,1.0383022756972524,5,3
190.31745532945402,46.04618431822898,0.5655358249578416,1.0443025023082393,6,3
175.59945725103321,-10.487666818105142,0.8740121452596054,1.0452459215281893,7,3
49.99999055235061,3.3071786202690925,5.6963808034610395,1.049998597295213,8,3
54.30000454165371,23.900908412326395,0.35896387099563176,1.0336276152282025,9,3
16.00000028028354,4.940256895738158,-3.1312179910930533,1.0236525468093465,0,4
16.00000028025764,4.5468553973961345,-3.1481575815992526,1.0233777450701909,1,4
25.000000847536135,48.77214689970346,-5.863460751182688,1.0097973124812551,2,4
-6.759007472158442e-10,-12.102184306113518,-3.807484556172324,1.030823285558286,3,4
2.400000675549388,3.2234036087355005,-1.7748591266865448,1.0385964899991167,4,4
54.3000041486708,14.745892390609724,-1.9686750014783254,1.036164519988211,5,4
186.33702914726697,27.17158700871543,0.11956962782228477,1.0426010175348204,6,4
171.38546041602228,6.2775006045723405,0.4345923365234117,1.0435966548653084,7,4
